Date,PC
07-02-2016,9519
07-02-2016,9686
07-02-2016,9794
07-02-2016,10038
07-02-2016,10064
07-02-2016,10146
07-02-2016,10139
07-02-2016,10061
07-02-2016,10103
07-02-2016,10226
07-02-2016,10651
07-02-2016,10780
07-02-2016,10733
07-02-2016,10533
07-02-2016,10063
07-02-2016,10310
07-02-2016,10164
07-02-2016,9757
08-02-2016,9413
08-02-2016,9224
08-02-2016,9170
08-02-2016,9200
08-02-2016,9575
08-02-2016,10559
08-02-2016,11130
08-02-2016,11319
08-02-2016,11277
08-02-2016,11229
08-02-2016,11308
08-02-2016,11303
08-02-2016,11253
08-02-2016,11191
08-02-2016,11156
08-02-2016,11093
08-02-2016,11307
08-02-2016,11371
08-02-2016,11330
08-02-2016,11131
08-02-2016,10605
08-02-2016,10561
08-02-2016,10280
08-02-2016,9854
09-02-2016,9545
09-02-2016,9302
09-02-2016,9223
09-02-2016,9289
09-02-2016,9682
09-02-2016,10530
09-02-2016,11096
09-02-2016,11303
09-02-2016,11142
09-02-2016,11211
09-02-2016,11246
09-02-2016,11228
09-02-2016,11110
09-02-2016,11032
09-02-2016,11061
09-02-2016,11099
09-02-2016,11402
09-02-2016,11410
09-02-2016,11407
09-02-2016,11246
09-02-2016,10662
09-02-2016,10632
09-02-2016,10292
09-02-2016,9815
10-02-2016,9433
10-02-2016,9170
10-02-2016,9051
10-02-2016,9052
10-02-2016,9406
10-02-2016,10277
10-02-2016,10880
10-02-2016,10927
10-02-2016,10907
10-02-2016,10924
10-02-2016,10981
10-02-2016,10978
10-02-2016,10894
10-02-2016,10939
10-02-2016,10958
10-02-2016,11047
10-02-2016,11364
10-02-2016,11397
10-02-2016,11431
10-02-2016,11231
10-02-2016,10691
10-02-2016,10606
10-02-2016,10381
10-02-2016,9850
11-02-2016,9417
11-02-2016,9226
11-02-2016,9087
11-02-2016,9113
11-02-2016,9468
11-02-2016,10212
11-02-2016,10869
11-02-2016,11023
11-02-2016,11000
11-02-2016,11036
11-02-2016,11013
11-02-2016,10970
11-02-2016,10938
11-02-2016,10870
11-02-2016,10901
11-02-2016,10899
11-02-2016,11200
11-02-2016,11256
11-02-2016,11191
11-02-2016,11001
11-02-2016,10639
11-02-2016,10626
11-02-2016,10319
11-02-2016,9953
12-02-2016,9656
12-02-2016,9430
12-02-2016,9380
12-02-2016,9419
12-02-2016,9798
12-02-2016,10710
12-02-2016,11282
12-02-2016,11391
12-02-2016,11385
12-02-2016,11446
12-02-2016,11503
12-02-2016,11455
12-02-2016,11372
12-02-2016,11235
12-02-2016,11195
12-02-2016,11253
12-02-2016,11610
12-02-2016,11752
12-02-2016,11687
12-02-2016,11340
12-02-2016,10982
12-02-2016,10919
12-02-2016,10664
12-02-2016,10072
13-02-2016,9676
13-02-2016,9429
13-02-2016,9344
13-02-2016,9352
13-02-2016,9482
13-02-2016,9766
13-02-2016,9897
13-02-2016,10009
13-02-2016,10268
13-02-2016,10412
13-02-2016,10428
13-02-2016,10350
13-02-2016,10249
13-02-2016,10207
13-02-2016,10261
13-02-2016,10428
13-02-2016,11020
13-02-2016,11385
13-02-2016,11304
13-02-2016,10908
13-02-2016,10469
13-02-2016,10576
13-02-2016,10368
13-02-2016,9996
14-02-2016,9618
14-02-2016,9359
14-02-2016,9252
14-02-2016,9241
14-02-2016,9300
14-02-2016,9438
14-02-2016,9514
14-02-2016,9516
14-02-2016,9767
14-02-2016,9976
14-02-2016,10097
14-02-2016,10080
14-02-2016,10015
14-02-2016,10005
14-02-2016,10046
14-02-2016,10207
14-02-2016,10645
14-02-2016,10906
14-02-2016,10894
14-02-2016,10646
14-02-2016,10346
14-02-2016,10553
14-02-2016,10427
14-02-2016,10017
15-02-2016,9670
15-02-2016,9427
15-02-2016,9390
15-02-2016,9467
15-02-2016,9890
15-02-2016,10818
15-02-2016,11367
15-02-2016,11422
15-02-2016,11461
15-02-2016,11513
15-02-2016,11508
15-02-2016,11388
15-02-2016,11273
15-02-2016,11212
15-02-2016,11128
15-02-2016,11071
15-02-2016,11377
15-02-2016,11634
15-02-2016,11627
15-02-2016,11495
15-02-2016,11011
15-02-2016,11037
15-02-2016,10726
15-02-2016,10260
16-02-2016,9951
16-02-2016,9743
16-02-2016,9691
