Date,Hours,PC
25-01-2013,22 - 23,11498
25-01-2013,23 - 00,10919
26-01-2013,00 - 01,10563
26-01-2013,01 - 02,10316
26-01-2013,02 - 03,10216
26-01-2013,03 - 04,10205
26-01-2013,04 - 05,10306
26-01-2013,05 - 06,10552
26-01-2013,06 - 07,10662
26-01-2013,07 - 08,10933
26-01-2013,08 - 09,10942
26-01-2013,09 - 10,11032
26-01-2013,10 - 11,11047
26-01-2013,11 - 12,10995
26-01-2013,12 - 13,10911
26-01-2013,13 - 14,10837
26-01-2013,14 - 15,11021
26-01-2013,15 - 16,11464
26-01-2013,16 - 17,11961
26-01-2013,17 - 18,11974
26-01-2013,18 - 19,11748
26-01-2013,19 - 20,11283
26-01-2013,20 - 21,10924
26-01-2013,21 - 22,11166
26-01-2013,22 - 23,10948
26-01-2013,23 - 00,10454
27-01-2013,00 - 01,10025
27-01-2013,01 - 02,9771
27-01-2013,02 - 03,9634
27-01-2013,03 - 04,9593
27-01-2013,04 - 05,9663
27-01-2013,05 - 06,9852
27-01-2013,06 - 07,9858
27-01-2013,07 - 08,10074
27-01-2013,08 - 09,10208
27-01-2013,09 - 10,10426
27-01-2013,10 - 11,10685
27-01-2013,11 - 12,10766
27-01-2013,12 - 13,10645
27-01-2013,13 - 14,10588
27-01-2013,14 - 15,10681
27-01-2013,15 - 16,11026
27-01-2013,16 - 17,11357
27-01-2013,17 - 18,11476
27-01-2013,18 - 19,11481
27-01-2013,19 - 20,11232
27-01-2013,20 - 21,10897
27-01-2013,21 - 22,11241
27-01-2013,22 - 23,11043
27-01-2013,23 - 00,10633
28-01-2013,00 - 01,10327
28-01-2013,01 - 02,10133
28-01-2013,02 - 03,10108
28-01-2013,03 - 04,10231
28-01-2013,04 - 05,10678
28-01-2013,05 - 06,11722
28-01-2013,06 - 07,12393
28-01-2013,07 - 08,12675
28-01-2013,08 - 09,12439
28-01-2013,09 - 10,12415
28-01-2013,10 - 11,12363
28-01-2013,11 - 12,12260
28-01-2013,12 - 13,12133
28-01-2013,13 - 14,12049
28-01-2013,14 - 15,11948
28-01-2013,15 - 16,12082
28-01-2013,16 - 17,12338
28-01-2013,17 - 18,12173
28-01-2013,18 - 19,12044
28-01-2013,19 - 20,11893
28-01-2013,20 - 21,11341
28-01-2013,21 - 22,11383
28-01-2013,22 - 23,10996
28-01-2013,23 - 00,10454
29-01-2013,00 - 01,10171
29-01-2013,01 - 02,9842
29-01-2013,02 - 03,9723
29-01-2013,03 - 04,9764
29-01-2013,04 - 05,10117
29-01-2013,05 - 06,11092
29-01-2013,06 - 07,11621
29-01-2013,07 - 08,11684
29-01-2013,08 - 09,11482
29-01-2013,09 - 10,11404
29-01-2013,10 - 11,11366
29-01-2013,11 - 12,11368
29-01-2013,12 - 13,11227
29-01-2013,13 - 14,11207
29-01-2013,14 - 15,11187
29-01-2013,15 - 16,11352
29-01-2013,16 - 17,11648
29-01-2013,17 - 18,11603
29-01-2013,18 - 19,11574
29-01-2013,19 - 20,11355
29-01-2013,20 - 21,10821
29-01-2013,21 - 22,10884
29-01-2013,22 - 23,10486
29-01-2013,23 - 00,9963
30-01-2013,00 - 01,9593
30-01-2013,01 - 02,9319
30-01-2013,02 - 03,9231
30-01-2013,03 - 04,9339
30-01-2013,04 - 05,9754
30-01-2013,05 - 06,10749
30-01-2013,06 - 07,11333
30-01-2013,07 - 08,11535
30-01-2013,08 - 09,11446
30-01-2013,09 - 10,11390
30-01-2013,10 - 11,11332
30-01-2013,11 - 12,11431
30-01-2013,12 - 13,11328
30-01-2013,13 - 14,11259
30-01-2013,14 - 15,11243
30-01-2013,15 - 16,11423
30-01-2013,16 - 17,11617
30-01-2013,17 - 18,11626
30-01-2013,18 - 19,11568
30-01-2013,19 - 20,11263
30-01-2013,20 - 21,10689
30-01-2013,21 - 22,10740
30-01-2013,22 - 23,10448
30-01-2013,23 - 00,9918
31-01-2013,00 - 01,9603
31-01-2013,01 - 02,9334
31-01-2013,02 - 03,9282
31-01-2013,03 - 04,9373
31-01-2013,04 - 05,9719
31-01-2013,05 - 06,10673
31-01-2013,06 - 07,11259
31-01-2013,07 - 08,11527
31-01-2013,08 - 09,11384
31-01-2013,09 - 10,11343
31-01-2013,10 - 11,11312
31-01-2013,11 - 12,11324
31-01-2013,12 - 13,11218
31-01-2013,13 - 14,11279
31-01-2013,14 - 15,11194
31-01-2013,15 - 16,11338
31-01-2013,16 - 17,11585
31-01-2013,17 - 18,11572
31-01-2013,18 - 19,11556
31-01-2013,19 - 20,11317
31-01-2013,20 - 21,10807
31-01-2013,21 - 22,10811
31-01-2013,22 - 23,10475
31-01-2013,23 - 00,10033
01-02-2013,00 - 01,9704
01-02-2013,01 - 02,9514
01-02-2013,02 - 03,9482
01-02-2013,03 - 04,9617
01-02-2013,04 - 05,10052
01-02-2013,05 - 06,10987
01-02-2013,06 - 07,11642
01-02-2013,07 - 08,11759
01-02-2013,08 - 09,11701
01-02-2013,09 - 10,11686
01-02-2013,10 - 11,11621
01-02-2013,11 - 12,11549
01-02-2013,12 - 13,11427
01-02-2013,13 - 14,11309
01-02-2013,14 - 15,11259
01-02-2013,15 - 16,11440
01-02-2013,16 - 17,11862
01-02-2013,17 - 18,11926
01-02-2013,18 - 19,11932
01-02-2013,19 - 20,11619
01-02-2013,20 - 21,11103
01-02-2013,21 - 22,11234
01-02-2013,22 - 23,10970
01-02-2013,23 - 00,10485
02-02-2013,00 - 01,10026
02-02-2013,01 - 02,9775
02-02-2013,02 - 03,9652
02-02-2013,03 - 04,9698
02-02-2013,04 - 05,9857
02-02-2013,05 - 06,10150
02-02-2013,06 - 07,10311
02-02-2013,07 - 08,10488
02-02-2013,08 - 09,10587
02-02-2013,09 - 10,10706
02-02-2013,10 - 11,10708
02-02-2013,11 - 12,10683
02-02-2013,12 - 13,10705
02-02-2013,13 - 14,10666
02-02-2013,14 - 15,10746
02-02-2013,15 - 16,11040
02-02-2013,16 - 17,11707
02-02-2013,17 - 18,11844
02-02-2013,18 - 19,11641
02-02-2013,19 - 20,11158
02-02-2013,20 - 21,10782
02-02-2013,21 - 22,11048
